File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 14
PC Download Start Date and Time: 1/29/2021 at  3:24:16
Date and Time on the tool: 1/29/2021 at  3:24:16
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000000 ,  1970/01/01 00:02:06 ,  50120 ,        3 ,      0 ,      0 ,      25 ,          0 ,          0 ,       0 ,          0 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000001 ,  1970/01/01 00:02:06 ,  21493 ,        3 ,      0 ,      0 ,      25 ,          1 ,          2 ,       3 ,          4 ,          5 ,      6 ,        7 ,       8 ,         9 ,       10 ,        11 , 
000000002 ,  1970/01/01 00:02:06 ,    700 ,        3 ,      0 ,      0 ,      25 ,          2 ,          4 ,       6 ,          8 ,         10 ,     12 ,       14 ,      16 ,        18 ,       20 ,        22 , 
000000003 ,  1970/01/01 00:02:06 ,  49105 ,        3 ,      0 ,      0 ,      25 ,          3 ,          6 ,       9 ,         12 ,         15 ,     18 ,       21 ,      24 ,        27 ,       30 ,        33 , 
000000004 ,  1970/01/01 00:02:06 ,  26695 ,        3 ,      0 ,      0 ,      25 ,          4 ,          8 ,      12 ,         16 ,         20 ,     24 ,       28 ,      32 ,        36 ,       40 ,        44 , 
000000005 ,  1970/01/01 00:00:33 ,   4207 ,        3 ,      0 ,      0 ,      25 ,  0.8192016 ,   3.384615 ,       0 ,  0.7683527 ,   2.038462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000006 ,  1970/01/01 00:01:03 ,  37124 ,        3 ,      0 ,      0 ,      25 ,  0.7084468 ,          0 ,       0 ,   0.759541 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000007 ,  2021/01/22 09:21:08 ,  33165 ,        3 ,      0 ,      0 ,      25 ,  0.8204793 ,        3.5 ,       0 ,  0.7676066 ,   1.961539 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000008 ,  2021/01/22 09:21:38 ,  24903 ,        3 ,      0 ,      0 ,      25 ,  0.7082096 ,   1.653846 ,       0 ,  0.7602331 ,   1.538462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000009 ,  2021/01/22 09:22:08 ,  33656 ,        3 ,      0 ,      0 ,      25 ,  0.7067432 ,          0 ,       0 ,  0.7588204 ,   2.230769 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000010 ,  2021/01/22 09:22:38 ,  13530 ,        3 ,      0 ,      0 ,      25 ,  0.7057036 ,   1.846154 ,       0 ,   0.757355 ,   1.884615 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000011 ,  2021/01/22 09:23:08 ,  16891 ,        3 ,      0 ,      0 ,      25 ,  0.7094579 ,   1.884615 ,       0 ,  0.7582267 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000012 ,  2021/01/22 09:23:38 ,  42935 ,        3 ,      0 ,      0 ,      25 ,  0.7074015 ,   1.692308 ,       0 ,  0.7605458 ,   1.846154 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000013 ,  2021/01/22 09:24:08 ,  38840 ,        3 ,      0 ,      0 ,      25 ,  0.7060804 ,        1.5 ,       0 ,  0.7610174 ,   2.038462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000014 ,  2021/01/22 09:24:38 ,  24443 ,        3 ,      0 ,      0 ,      25 ,  0.7229322 ,   2.576923 ,       0 ,  0.7416149 ,   2.538462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000015 ,  2021/01/22 09:25:08 ,  50623 ,        3 ,      0 ,      0 ,      25 ,  0.7195366 ,   1.615385 ,       0 ,  0.7357222 ,   1.961539 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
